id,classes,se,code,name,pinyin,price,change,net,volume,value,mark,operation,hold,cost,profit,roi,roe,pe,rate,pb,dividend,dividend_yield,delta,total_share,time_to_market,created,modified
1182,A,sh,603567,珍宝岛,zbd,12.96,0.13,1.013,0,0,0,0,0,0,0,1.7,6.91,3.19,0.77,2.1,2.17,1.67,0,849160000.0,2015-04-30,2020-08-29 19:11,2020-08-29 19:11
1853,A,sz,000728,国元证券,gyzq,10.86,0.24,2.26,0,0,0,0,0,0,0,1.7,4.48,3.01,1.26,1.46,1.5,1.38,0,3365447047.0,1997-06-27,2020-08-29 19:11,2020-08-29 19:11
2931,A,sz,300020,银江股份,yjgf,11.72,-0.14,-1.18,0,0,0,0,0,0,0,1.7,4.06,1.75,2.39,2.22,0.3,0.26,0,655789086.0,2009-10-30,2020-08-29 19:11,2020-08-29 19:11
2950,A,sz,300040,九洲集团,jzjt,7.56,0.2,2.717,0,0,0,0,0,0,0,1.7,3.37,2.5,2.02,1.32,0.5,0.66,0,343095415.0,2010-01-29,2020-08-29 19:11,2020-08-29 19:11
2996,A,sz,300087,荃银高科,qygk,21.14,1.18,5.912,0,0,0,0,0,0,0,1.69,14.43,1.15,1.02,18.74,0.5,0.24,0,430330071.0,2010-05-31,2020-08-29 19:11,2020-08-29 19:11
820,A,sh,601555,东吴证券,dwzq,10.75,0.33,3.167,0,0,0,0,0,0,0,1.68,4.72,3.02,1.18,1.54,1.3,1.21,0,3880518908.0,2011-12-30,2020-08-29 19:11,2020-08-29 19:11
179,A,sh,600246,万通发展,wtfz,8.57,0.25,3.005,0,0,0,0,0,0,0,1.66,5.35,2.23,1.39,2.41,0.6,0.7,0,2054009302.0,2000-09-29,2020-08-29 19:11,2020-08-29 19:11
1770,A,sz,000601,韶能股份,sngf,6.95,0.08,1.164,0,0,0,0,0,0,0,1.66,6.43,4.04,0.64,1.58,2.5,3.6,0,1080551669.0,1996-08-30,2020-08-29 19:11,2020-08-29 19:11
967,A,sh,603066,音飞储存,yfcc,10.91,-0.02,-0.183,0,0,0,0,0,0,0,1.65,8.07,2.41,0.85,3.22,0.52,0.48,0,300702900.0,2015-06-30,2020-08-29 19:11,2020-08-29 19:11
807,A,sh,601368,绿城水务,lcsw,5.81,0.04,0.693,0,0,0,0,0,0,0,1.64,5.34,4.15,0.74,1.21,0.9,1.55,0,882973077.0,2015-06-30,2020-08-29 19:11,2020-08-29 19:11
